2026-03-26 12:52:45 | INFO     | BlogWriter | Logger initialised. Log file: logs\log_20260326_125245.log
2026-03-26 12:52:45 | DEBUG    | BlogWriter | [SETUP] Initialising LLMs...
2026-03-26 12:52:46 | DEBUG    | BlogWriter | [SETUP] LLMs ready.
2026-03-26 12:52:46 | INFO     | BlogWriter | [STARTUP] PostgreSQL tables ready.
2026-03-26 12:52:46 | INFO     | BlogWriter | [STARTUP] LangGraph workflow compiled. Checkpointer DB: 'blog_hitl.db'
2026-03-26 12:53:13 | INFO     | BlogWriter | [API] /blogs/generate — topic='Global Warming' thread_id='8de127ef-0cc7-4b4f-895e-9c22f3d36a4c'
2026-03-26 12:53:13 | INFO     | BlogWriter | [BG] Starting workflow for thread_id='8de127ef-0cc7-4b4f-895e-9c22f3d36a4c' topic='Global Warming'
2026-03-26 12:53:13 | INFO     | BlogWriter | [ROUTER] ── Entering router node ──────────────────────────
2026-03-26 12:53:13 | DEBUG    | BlogWriter | [ROUTER]   Topic: 'Global Warming'
2026-03-26 12:53:31 | INFO     | BlogWriter | [ROUTER]   Decision: mode='open_book' | needs_research=True
2026-03-26 12:53:31 | DEBUG    | BlogWriter | [ROUTER]   Queries (9): ['What is the current global temperature anomaly compared to the 20-year average?', 'List top 5 countries by greenhouse gas emissions per capita.', 'How do renewable energy sources contribute to reducing carbon footprint in Europe?', 'What are the consequences of ocean acidification on marine ecosystems?', 'Can you provide a list of countries with net-zero carbon targets by 2050?', 'How does climate change affect global food production and security?', 'What is the current state of the Paris Agreement on global warming mitigation?', 'List top 10 most polluting industries in the world.', 'How effective are electric vehicles in reducing greenhouse gas emissions from transportation?']
2026-03-26 12:53:31 | INFO     | BlogWriter | [ROUTER] ── Router node complete ────────────────────────────
2026-03-26 12:53:31 | INFO     | BlogWriter | [ROUTER] Routing → 'research'
2026-03-26 12:53:31 | INFO     | BlogWriter | [RESEARCH] ── Entering research node (9 queries) ──
2026-03-26 12:53:31 | DEBUG    | BlogWriter | [RESEARCH] Tavily search — query='What is the current global temperature anomaly compared to the 20-year average?'
2026-03-26 12:53:31 | DEBUG    | BlogWriter | [RESEARCH] Tavily search — query='List top 5 countries by greenhouse gas emissions per capita.'
2026-03-26 12:53:31 | DEBUG    | BlogWriter | [RESEARCH] Tavily search — query='How do renewable energy sources contribute to reducing carbon footprint in Europe?'
2026-03-26 12:53:31 | DEBUG    | BlogWriter | [RESEARCH] Tavily search — query='What are the consequences of ocean acidification on marine ecosystems?'
2026-03-26 12:53:31 | DEBUG    | BlogWriter | [RESEARCH] Tavily search — query='Can you provide a list of countries with net-zero carbon targets by 2050?'
2026-03-26 12:53:31 | DEBUG    | BlogWriter | [RESEARCH] Tavily search — query='How does climate change affect global food production and security?'
2026-03-26 12:53:31 | DEBUG    | BlogWriter | [RESEARCH] Tavily search — query='What is the current state of the Paris Agreement on global warming mitigation?'
2026-03-26 12:53:31 | DEBUG    | BlogWriter | [RESEARCH] Tavily search — query='List top 10 most polluting industries in the world.'
2026-03-26 12:53:31 | DEBUG    | BlogWriter | [RESEARCH] Tavily search — query='How effective are electric vehicles in reducing greenhouse gas emissions from transportation?'
2026-03-26 12:53:34 | DEBUG    | BlogWriter | [RESEARCH] Query done: 'How does climate change affect global food production and security?' → 6 results | cumulative: 6
2026-03-26 12:53:34 | DEBUG    | BlogWriter | [RESEARCH] Query done: 'Can you provide a list of countries with net-zero carbon targets by 2050?' → 6 results | cumulative: 12
2026-03-26 12:53:34 | DEBUG    | BlogWriter | [RESEARCH] Query done: 'List top 10 most polluting industries in the world.' → 6 results | cumulative: 18
2026-03-26 12:53:34 | DEBUG    | BlogWriter | [RESEARCH] Query done: 'What is the current global temperature anomaly compared to the 20-year average?' → 6 results | cumulative: 24
2026-03-26 12:53:34 | DEBUG    | BlogWriter | [RESEARCH] Query done: 'How effective are electric vehicles in reducing greenhouse gas emissions from transportation?' → 6 results | cumulative: 30
2026-03-26 12:53:34 | DEBUG    | BlogWriter | [RESEARCH] Query done: 'How do renewable energy sources contribute to reducing carbon footprint in Europe?' → 6 results | cumulative: 36
2026-03-26 12:53:34 | DEBUG    | BlogWriter | [RESEARCH] Query done: 'What are the consequences of ocean acidification on marine ecosystems?' → 6 results | cumulative: 42
2026-03-26 12:53:34 | DEBUG    | BlogWriter | [RESEARCH] Query done: 'List top 5 countries by greenhouse gas emissions per capita.' → 6 results | cumulative: 48
2026-03-26 12:53:34 | DEBUG    | BlogWriter | [RESEARCH] Query done: 'What is the current state of the Paris Agreement on global warming mitigation?' → 6 results | cumulative: 54
2026-03-26 12:53:34 | INFO     | BlogWriter | [RESEARCH] Total raw results: 54 (2.76s)
2026-03-26 12:56:33 | INFO     | BlogWriter | [RESEARCH] Evidence after deduplication: 0 items
2026-03-26 12:56:33 | WARNING  | BlogWriter | [RESEARCH] All 54 raw results discarded. Closed-book fallback.
