2026-03-30 09:26:39 | INFO     | BlogApp | [Logger] Bootstrapped. Log file: logs\backend-log_20260330_092639.log
2026-03-30 09:26:45 | DEBUG    | BlogApp.Agent | [SETUP] Initialising LLM...
2026-03-30 09:26:45 | DEBUG    | BlogApp.Agent | [SETUP] LLM ready: model='llama3.2:3b'
2026-03-30 09:26:46 | INFO     | BlogApp.FastAPI | [STARTUP] Static site mounted: D:\Study\LangGraph\Workflow_26_BlogAgent\Backend\Blogs → /site
2026-03-30 09:26:46 | INFO     | BlogApp.FastAPI | [STARTUP] PostgreSQL tables ready.
2026-03-30 09:26:46 | INFO     | BlogApp.FastAPI | [STARTUP] LangGraph workflow compiled. Checkpointer DB: 'blog_hitl.db'
2026-03-30 09:26:53 | INFO     | BlogApp.FastAPI | [API] /blogs/generate — topic='Evolution of Snapdragon Processors' thread_id='5ede13a7-a30f-492e-9092-ada2c0a84c54'
2026-03-30 09:26:53 | INFO     | BlogApp.FastAPI | [BG] Starting workflow thread='5ede13a7-a30f-492e-9092-ada2c0a84c54' topic='Evolution of Snapdragon Processors'
2026-03-30 09:26:53 | INFO     | BlogApp.Agent | [ROUTER] ── Entering router node ──────────────────────────
2026-03-30 09:27:05 | INFO     | BlogApp.Agent | [ROUTER]   mode='hybrid' | needs_research=False
2026-03-30 09:27:05 | INFO     | BlogApp.Agent | [ROUTER] ── Router node complete ────────────────────────────
2026-03-30 09:27:05 | INFO     | BlogApp.Agent | [ROUTER] Routing → 'orchestrator'
2026-03-30 09:27:05 | INFO     | BlogApp.Agent | [ORCH] ── Entering orchestrator node ──────────────────────
2026-03-30 09:27:05 | INFO     | BlogApp.Agent | [ORCH] Planning attempt 1/3...
2026-03-30 09:29:05 | INFO     | BlogApp.Agent | [ORCH] Plan accepted — 6 tasks | 'The Evolution of Snapdragon Processors'
2026-03-30 09:29:05 | INFO     | BlogApp.Agent | [ORCH] ── Orchestrator node complete ─────────────────────────
2026-03-30 09:29:05 | INFO     | BlogApp.Agent | [DISPATCHER] Dispatching workers...
